latitude,longitude,elevation,gravity
-26.37833,29.00999,1641.64,978622.0
-26.89333,29.02834,1540.14,978647.39
-26.63333,29.03,1551.11,978607.1
-26.97166,29.05,1546.54,978667.48
-26.39166,29.05,1665.11,978622.8
-26.05167,29.05499,1577.02,978606.9
-26.09833,29.06332,1592.87,978607.7
-26.57333,29.06332,1564.52,978618.1
-26.01167,29.065,1559.65,978609.3
-26.90668,29.06667,1551.42,978641.79
-26.28168,29.08,1610.85,978652.39
-26.41667,29.08,1638.59,978630.6
-26.12666,29.08833,1543.49,978627.5
-26.91499,29.10001,1573.36,978635.99
-26.18167,29.105,1583.42,978632.39
-26.42667,29.11501,1666.33,978625.7
-26.55333,29.12334,1576.72,978621.8
-26.96333,29.125,1518.19,978654.59
-26.92168,29.12666,1584.03,978634.5
-26.43333,29.13167,1683.09,978622.4
-26.20667,29.14,1565.44,978644.89
-26.45168,29.15334,1673.03,978622.9
-26.93333,29.17,1550.81,978644.09
-26.29333,29.17,1567.57,978666.98
-26.01666,29.175,1581.9,978617.9
-26.52167,29.185,1590.13,978626.1
-26.25,29.19,1566.35,978649.89
-26.94,29.19667,1571.23,978643.99
-26.46333,29.19667,1649.56,978626.6
-26.32668,29.2,1605.98,978667.48
-26.38,29.205,1582.2,978679.68
-26.43167,29.20833,1595.61,978652.49
-26.29832,29.21667,1564.52,978667.28
-26.09167,29.21667,1556.9,978634.89
-26.49667,29.22501,1646.21,978618.9
-26.94833,29.22667,1536.48,978653.89
-26.27167,29.22667,1548.67,978665.69
-26.49834,29.23167,1655.05,978617.2
-26.85333,29.25,1598.36,978641.79
-26.96832,29.25667,1552.03,978657.19
-26.78667,29.26666,1588.91,978634.89
-26.285,29.26833,1602.93,978653.29
-26.49667,29.27,1653.52,978625.5
-26.13667,29.27499,1589.52,978648.89
-26.98167,29.28999,1564.52,978659.49
-26.705,29.295,1584.64,978627.3
-26.30833,29.3,1614.51,978655.29
-26.5,29.30333,1653.52,978625.0
-26.86667,29.30499,1589.21,978653.19
-26.48833,29.32668,1661.14,978628.3
-26.17999,29.32832,1580.98,978644.39
-26.235,29.33,1590.43,978647.89
-26.38333,29.33333,1616.95,978676.58
-26.64999,29.34666,1660.23,978602.2
-26.465,29.35333,1599.27,978645.39
-26.345,29.35834,1568.18,978675.18
-26.83,29.35834,1612.68,978653.99
-26.42332,29.375,1600.79,978662.99
-26.295,29.38,1680.96,978638.39
-26.565,29.39166,1686.14,978607.4
-26.45667,29.395,1654.44,978637.09
-26.45332,29.44167,1648.65,978637.59
-26.80333,29.455,1621.52,978650.49
-26.355,29.45833,1647.43,978666.78
-26.21667,29.465,1574.58,978655.09
-26.28,29.46667,1592.26,978662.29
-26.16167,29.46832,1583.12,978647.39
-26.11,29.47833,1655.66,978625.1
-26.035,29.48334,1629.75,978621.9
-26.435,29.485,1693.15,978639.69
-26.80333,29.5,1652.61,978650.89
-26.53833,29.505,1673.64,978614.2
-26.46832,29.50999,1677.3,978631.89
-26.37167,29.52333,1635.85,978674.38
-26.58167,29.53333,1625.79,978624.6
-26.47501,29.54167,1694.06,978628.9
-26.32167,29.55833,1602.01,978682.98
-26.63499,29.56332,1669.68,978612.9
-26.755,29.57167,1628.84,978638.29
-26.47667,29.59,1705.04,978616.0
-26.67667,29.59833,1617.56,978626.6
-26.26334,29.60667,1647.73,978657.49
-26.71333,29.61333,1653.83,978625.4
-26.77,29.62334,1666.02,978632.8
-26.47501,29.62666,1730.64,978610.3
-26.58833,29.62833,1719.06,978609.0
-26.21667,29.62833,1611.16,978655.09
-26.66167,29.64,1695.89,978610.6
-26.00333,29.64667,1629.45,978631.89
-26.46333,29.66167,1694.37,978624.7
-26.60001,29.675,1684.31,978622.0
-26.175,29.68668,1718.45,978620.2
-26.07832,29.69,1627.62,978643.89
-26.47501,29.69833,1734.6,978608.3
-26.84167,29.70332,1606.59,978657.89
-26.88834,29.705,1597.44,978662.89
-26.15167,29.73334,1651.39,978635.09
-26.93167,29.735,1755.63,978627.3
-26.49001,29.73833,1721.49,978600.8
-26.66167,29.75999,1612.99,978636.49
-26.14999,29.77499,1687.05,978619.1
-26.50667,29.77667,1664.8,978607.6
-26.955,29.78,1691.62,978626.6
-26.23666,29.785,1645.9,978600.0
-26.97333,29.79668,1696.2,978624.7
-26.51666,29.79832,1624.87,978617.7
-26.13667,29.81667,1725.76,978602.0
-26.51666,29.82167,1668.76,978607.2
-26.26334,29.84666,1722.41,978562.82
-26.50999,29.86333,1699.55,978589.41
-26.90833,29.87,1593.78,978656.39
-26.59,29.88667,1682.18,978606.5
-26.33833,29.89833,1825.43,978540.92
-26.515,29.905,1653.83,978594.11
-26.13,29.905,1609.63,978600.8
-26.84666,29.91667,1679.43,978643.29
-26.77,29.925,1590.13,978649.79
-26.41333,29.93668,1690.1,978586.81
-26.51167,29.94,1675.17,978592.41
-26.70168,29.95168,1690.41,978608.7
-26.10834,29.95332,1632.19,978585.51
-26.59666,29.97,1782.15,978592.51
-26.63499,29.97833,1773.31,978600.5
-26.30833,29.97833,1782.45,978551.72
-26.21832,29.99333,1716.62,978555.32
-26.26167,30.00166,1725.46,978557.82
-26.51334,30.00999,1729.11,978586.81
-26.535,30.01334,1726.07,978592.31
-26.425,30.01833,1802.57,978561.41
-26.48334,30.02834,1795.56,978569.61
-26.01167,30.03168,1547.46,978595.71
-26.15334,30.03667,1675.77,978557.62
-26.28,30.045,1733.38,978553.92
-26.55833,30.05,1704.43,978613.1
-26.09,30.05333,1604.76,978576.61
-26.02499,30.06168,1546.54,978589.81
-26.11667,30.07001,1648.95,978562.41
-26.52333,30.07167,1738.26,978587.31
-26.39667,30.075,1762.95,978563.82
-26.57832,30.07668,1656.88,978626.9
-26.06,30.10167,1693.15,978554.62
-26.35667,30.105,1669.07,978573.91
-26.26666,30.10834,1762.64,978546.32
-26.60333,30.11667,1708.39,978616.5
-26.07167,30.125,1706.25,978550.82
-26.64999,30.16167,1647.73,978629.3
-26.30667,30.16499,1751.06,978549.92
-26.55499,30.16667,1692.54,978609.7
-26.685,30.17,1730.64,978615.6
-26.06332,30.18832,1709.61,978541.22
-26.72,30.18832,1668.76,978637.89
-26.91499,30.19,1639.2,978651.79
-26.215,30.19,1806.23,978530.12
-26.13,30.19333,1890.35,978531.42
-26.28667,30.19501,1682.18,978563.91
-26.18167,30.21001,1807.45,978527.42
-26.56332,30.21167,1632.49,978623.3
-26.72833,30.21667,1584.95,978676.98
-26.27667,30.24333,1741.92,978551.22
-26.87833,30.24667,1668.76,978636.69
-26.55667,30.25833,1639.5,978633.0
-26.72501,30.26167,1463.03,978683.08
-26.06833,30.27167,1800.44,978522.83
-26.715,30.29668,1447.79,978684.38
-26.30499,30.30333,1706.25,978562.01
-26.69118,30.30783,1466.1,978672.39
-26.155,30.31667,1725.76,978533.12
-26.82333,30.32333,1476.44,978667.78
-26.74001,30.32668,1448.09,978670.58
-26.565,30.33333,1619.08,978632.89
-26.05499,30.33667,1646.51,978544.82
-26.75833,30.375,1430.72,978668.69
-26.175,30.38,1772.4,978520.53
-26.31833,30.38834,1670.9,978575.51
-26.80333,30.39667,1456.93,978665.79
-26.68433,30.39667,1517.9,978642.5
-26.53999,30.40334,1650.17,978631.09
-26.785,30.40833,1451.75,978664.59
-26.035,30.41499,1315.2,978601.9
-26.59,30.42168,1533.13,978645.99
-26.68333,30.42999,1490.76,978645.49
-26.38499,30.43333,1718.45,978589.21
-26.22667,30.43668,1781.54,978526.42
-26.46667,30.43668,1616.64,978637.09
-26.80499,30.43832,1443.21,978669.19
-26.793,30.4525,1441.7,978666.11
-26.79167,30.45332,1449.62,978665.79
-26.73383,30.45534,1432.5,978659.7
-26.01666,30.45667,1250.28,978609.3
-26.73334,30.46001,1439.56,978661.79
-26.67467,30.46083,1496.6,978642.29
-26.55667,30.47,1624.57,978628.0
-26.82668,30.48,1421.88,978674.38
-26.65668,30.48167,1448.7,978656.39
-26.61833,30.48167,1462.11,978665.39
-26.23,30.49167,1790.07,978536.52
